iter,scenario,ms,decision
369,allow,47,537,allow
370,floor,28,966,-
370,defer,46,93,defer
370,allow,47,728,allow
371,floor,316,386,-
371,defer,45,51,defer
371,allow,47,095,allow
372,floor,28,52,-
372,defer,50,434,defer
372,allow,48,317,allow
373,floor,40,104,-
373,defer,58,088,defer
373,allow,61,113,allow
374,floor,28,581,-
374,defer,49,473,defer
374,allow,46,49,allow
375,floor,28,422,-
375,defer,49,305,defer
375,allow,48,841,allow
376,floor,28,887,-
376,defer,47,891,defer
376,allow,378,238,allow
377,floor,30,909,-
377,defer,62,317,defer
377,allow,64,366,allow
378,floor,32,314,-
378,defer,62,186,defer
378,allow,63,064,allow
379,floor,29,502,-
379,defer,49,028,defer
379,allow,61,735,allow
380,floor,29,112,-
380,defer,48,18,defer
380,allow,47,548,allow
381,floor,29,347,-
381,defer,48,834,defer
381,allow,61,983,allow
382,floor,28,528,-
382,defer,49,118,defer
382,allow,48,079,allow
383,floor,28,226,-
383,defer,50,204,defer
383,allow,47,44,allow
384,floor,28,592,-
384,defer,51,248,defer
384,allow,47,384,allow
385,floor,28,289,-
385,defer,51,313,defer
385,allow,47,538,allow
386,floor,40,659,-
386,defer,53,204,defer
386,allow,47,431,allow
387,floor,29,558,-
387,defer,48,419,defer
387,allow,46,526,allow
388,floor,28,495,-
388,defer,48,44,defer
388,allow,47,933,allow
389,floor,321,904,-
389,defer,54,822,defer
389,allow,48,536,allow
390,floor,28,482,-
390,defer,48,898,defer
390,allow,49,532,allow
391,floor,30,085,-
391,defer,47,56,defer
391,allow,47,338,allow
392,floor,34,772,-
392,defer,58,238,defer
392,allow,47,31,allow
393,floor,29,159,-
393,defer,46,454,defer
393,allow,64,8,allow
394,floor,28,366,-
394,defer,48,555,defer
394,allow,49,287,allow
395,floor,317,247,-
395,defer,59,732,defer
395,allow,46,261,allow
396,floor,29,606,-
396,defer,49,707,defer
396,allow,61,71,allow
397,floor,28,65,-
397,defer,52,037,defer
397,allow,60,013,allow
398,floor,315,797,-
